"Creare_CreareSeoCore::General Settings","Configurações Gerais"
"Creare_CreareSeoCore::SEO Settings","Configurações de SEO"
"Creare_CreareSeoCore::Disable Meta Keywords Tag and Empty Meta Description Tags?","Desativar a tag de Palavras-Chaves e deixar a tag de Descrição vazia?"
"Creare_CreareSeoCore::Make ""alt"" tags mandatory on product gallery images?","Fazer o atributo ""alt"" obrigatório nas imagens da galeria de produtos?"
"Creare_CreareSeoCore::Apply NOINDEX to filtered category pages","Aplicar NOINDEX para as páginas das categorias filtradas"
"Creare_CreareSeoCore::Apply NOINDEX to Search Results","Aplicar NOINDEX para os resultados da busca"
"Creare_CreareSeoCore::Apply NOINDEX to Pop-up Gallery","Aplicar NOINDEX para o Pop-up da galeria"
"Creare_CreareSeoCore::Apply NOINDEX to Cart Page","Aplicar NOINDEX para a página do carrinho"
"Creare_CreareSeoCore::Apply NOINDEX to Account Pages","Aplicar NOINDEX para as páginas de conta do usuário"
"Creare_CreareSeoCore::Disable Duplicate Button in Product Edit?","Desativar o botão de duplicar na edição do produto?"
"Creare_CreareSeoCore::Enable Unique Category Heading field","Ativar campo de cabeçalho único da categoria"
"Creare_CreareSeoCore::Enable Canonical Product Redirecting","Ativar redirecionamento canônico do produto"
"Creare_CreareSeoCore::Force Homepage Title (disregard prefix/suffix)","Forçar o título da página inicial (ignorando prefixo/sufixo)"
"Creare_CreareSeoCore::Enable CMS Canonical Meta Tags","Ativar meta tags canônicas no CMS"
"Creare_CreareSeoCore::Use standard or secure URLs in CMS canonical tags?","Usar URLs padrão ou seguras nas tags canônicas no CMS?"
"Creare_CreareSeoCore::Add slashes to end of canonical CMS URL?","Adicionar uma barra no final das tags canônicas no CMS?"
"Creare_CreareSeoCore::Performance Cleanup","Limpeza de Desempenho"
"Creare_CreareSeoCore::Enabled","Ativado"
"Creare_CreareSeoCore::Clean Log entries in DB?","Limpar entradas de log no Banco de Dados?"
"Creare_CreareSeoCore::Clean Cache &amp; Session Folder?","Limpar os diretório de cache &amp; seção?"
"Creare_CreareSeoCore::Auto enable cache?","Ativar cache automaticamente?"
"Creare_CreareSeoCore::Email any problems to?","Enviar qualquer erro para?"
"Creare_CreareSeoCore::Last Successful Run:","Última execução bem-sucedida:"
"Creare_CreareSeoCore::Twitter Cards and Open Graph","Twitter Cards e Open Graph"
"Creare_CreareSeoCore::Enable Twitter Cards and OG Tags?","Ativar Twitter Cards e OG Tags?"
"Creare_CreareSeoCore::Twitter Site @","Usuário do site no Twitter"
"Creare_CreareSeoCore::Twitter Creator @","Usuário do criador no Twitter"
"Creare_CreareSeoCore::Default Page Titles and Meta Descriptions","Títulos, Descrições e Meta Tags das Páginas"
"Creare_CreareSeoCore::Enable Default Product Title?","Ativar o título padrão do produto?"
"Creare_CreareSeoCore::Default Product Title","Título padrão do produto"
"Creare_CreareSeoCore::Enable Default Product Meta Description?","Ativar a descrição padrão do produto?"
"Creare_CreareSeoCore::Default Product Meta Description","Descrição padrão do produto"
"Creare_CreareSeoCore::Enable Default Category Title?","Ativar o título padrão da categoria?"
"Creare_CreareSeoCore::Default Category Title","Título padrão da categoria"
"Creare_CreareSeoCore::Enable Default Category Meta Description?","Ativar a descrição padrão da categoria?"
"Creare_CreareSeoCore::Default Category Meta Description","Descrição padrão da categoria"
"Creare_CreareSeoCore::Default Contacts Title","Título padrão dos contatos"
"Creare_CreareSeoCore::Default Contacts Meta Description","Descrição padrão dos contatos"
"Creare_CreareSeoCore::Google Analytics","Google Analytics"
"Creare_CreareSeoCore::Google Analytics Type","Tipo do Google Analytics"
"Creare_CreareSeoCore::Enable Demographics and Interest Reports","Ativar relatórios de interesse e demográficos"
"Creare_CreareSeoCore::Additional Tracking Code","Código de rastreio adicional"
"Creare_CreareSeoCore::Organization Schema","Schema da Organização"
"Creare_CreareSeoCore::Enable Organization Schema?","Ativar o Schema para a organização?"
"Creare_CreareSeoCore::Street Address","Logradouro"
"Creare_CreareSeoCore::Address Locality","Localidade"
"Creare_CreareSeoCore::Region","Região"
"Creare_CreareSeoCore::Postal Code","Código Postal"
"Creare_CreareSeoCore::Product Schema","Schema do Produto"
"Creare_CreareSeoCore::Enable Product Schema?","Ativar o Schema para o produto?"
"Creare_CreareSeoCore::Social Schema","Schema Social"
"Creare_CreareSeoCore::Enable Social Schema?","Ativar o Schema para as redes sociais?"
"Creare_CreareSeoCore::Social Profiles","Perfis nas redes sociais"
"Creare_CreareSeoCore::Logo Schema","Schema da Marca"
"Creare_CreareSeoCore::Enable Logo Schema?","Ativar o Schema para a marca?"
"Creare_CreareSeoCore::Breadcrumbs Schema","Schema dos Breadcrumbs"
"Creare_CreareSeoCore::Enable Breadcrumb Schema?","Ativar o Schema para os breadcrumbs?"
"Creare_CreareSeoCore::Google Tag Manager","Gerenciamento da Tag do Google"
"Creare_CreareSeoCore::Enable Google Tag Manager?","Ativar o gerenciamento da tag do Google?"
"Creare_CreareSeoCore::GTM ID","GTM ID"
"Creare_CreareSeoCore::Google Content Grouping (for Analytics)","Google Content Grouping (para Analytics)"
"Creare_CreareSeoCore::Product Tracking Code","Código de rastreio do produto"
"Creare_CreareSeoCore::Category Tracking Code","Código de rastreio da categoria"
"Creare_CreareSeoCore::CMS Page Tracking Code","Código de rastreio das páginas do CMS"
"Creare_CreareSeoCore::Sitelink Search","Busca do Sitelink"
"Creare_CreareSeoCore::Enable Sitelink Search?","Ativar busca do sitelink?"
"Creare_CreareSeoCore::robots.txt","robots.txt"
"Creare_CreareSeoCore::robots.txt Editor","Editor do robots.txt"
"Creare_CreareSeoCore::Location of robots.txt","Localização do robots.txt"
"Creare_CreareSeoCore::Fax Number","Número do Fax"
"Creare_CreareSeoCore::Company Number","Número da Companhia"
"Creare_CreareSeoCore::Twitter","Twitter"
"Creare_CreareSeoCore::Facebook","Facebook"
"Creare_CreareSeoCore::Google Plus","Google+"
"Creare_CreareSeoCore::YouTube","YouTube"
"Creare_CreareSeoCore::LinkedIn","LinkedIn"
"Creare_CreareSeoCore::Instagram","Instagram"
